ip,date,method,path,status_code,body_bytes_sent,http_referer,ua,host,exec_time
188.163.44.29,23/May/2020:12:28:49 +0000,GET,/api/v1/docs/,404,191,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
188.163.44.29,23/May/2020:12:28:49 +0000,GET,/favicon.ico,404,191,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.001
188.163.44.29,23/May/2020:12:28:49 +0000,GET,/api/v1/docs/,404,191,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
188.163.44.29,23/May/2020:12:28:50 +0000,GET,/favicon.ico,404,191,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.001
188.163.44.29,23/May/2020:12:28:50 +0000,GET,/api/v1/docs/,404,191,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
188.163.44.29,23/May/2020:12:28:50 +0000,GET,/favicon.ico,404,191,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
188.163.44.29,23/May/2020:12:28:51 +0000,GET,/api/v1/docs/,404,191,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
188.163.44.29,23/May/2020:12:28:53 +0000,GET,/favicon.ico,404,102,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,2.657
188.163.44.29,23/May/2020:12:28:54 +0000,GET,/api/v1/docs/,200,910,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,2.752
188.163.44.29,23/May/2020:12:28:56 +0000,GET,/api/v1/docs/?format=openapi,200,2536,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.728
23.22.16.221,23/May/2020:12:28:57 +0000,GET,/api/v1/docs/?format=openapi,200,2536,-,swagger-validator,159.89.237.112,0.782
188.163.44.29,23/May/2020:12:29:00 +0000,POST,/api/v1/payments/liqpay/widget/,200,448,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.126
34.253.252.244,23/May/2020:12:29:41 +0000,POST,/api/v1/payments/liqpay/callback/,200,0,-,-,159.89.237.112,0.260
54.229.105.178,23/May/2020:12:29:51 +0000,POST,/api/v1/payments/liqpay/callback/,200,0,-,-,159.89.237.112,0.090
188.163.44.29,23/May/2020:12:30:07 +0000,GET,/admin/payments/payment/,499,0,http://159.89.237.112/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.220
188.163.44.29,23/May/2020:12:30:08 +0000,GET,/admin/payments/payment/,200,2024,http://159.89.237.112/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.547
188.163.44.29,23/May/2020:12:30:11 +0000,GET,/favicon.ico,404,102,http://159.89.237.112/admin/payments/payment/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.875
188.163.44.29,23/May/2020:12:30:13 +0000,GET,/admin/payments/payment/23/change/,200,1488,http://159.89.237.112/admin/payments/payment/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.164
188.163.44.29,23/May/2020:12:30:14 +0000,GET,/admin/jsi18n/,200,942,http://159.89.237.112/admin/payments/payment/23/change/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.020
188.163.44.29,23/May/2020:12:33:17 +0000,GET,/admin/payments/payment/,200,2025,http://159.89.237.112/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.422
188.163.44.29,23/May/2020:12:33:22 +0000,GET,/admin/,200,2046,http://159.89.237.112/admin/payments/payment/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.101
188.163.44.29,23/May/2020:12:33:24 +0000,GET,/admin/accounts/account/,200,2484,http://159.89.237.112/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.179
188.163.44.29,23/May/2020:12:33:24 +0000,GET,/admin/jsi18n/,200,942,http://159.89.237.112/admin/accounts/account/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.017
188.163.44.29,23/May/2020:12:33:28 +0000,GET,/admin/accounts/account/3/change/,200,6945,http://159.89.237.112/admin/accounts/account/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.257
188.163.44.29,23/May/2020:12:33:28 +0000,GET,/admin/jsi18n/,200,942,http://159.89.237.112/admin/accounts/account/3/change/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.013
188.163.44.29,23/May/2020:12:33:32 +0000,GET,/admin/,200,2046,http://159.89.237.112/admin/accounts/account/3/change/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.043
